Season,Episode,Year,Episode Title,"Crime (Actual crime/crimes committed. e.g. rape, murder)",Number of victims (enter a number),Victim Gender,Victim Race,Number of criminals,Criminal Gender,Criminal Race,Notes
6,10,2006,Weeping Willow,Murder,1,Male,White,2,"1 male, 1 female",White,
6,11,2007,World's Fair,Murder,2,"1 female, 1 male",Asian,2,Male,Asian,
6,12,2007,Privilege,Murder,3,"2 female, 1 male",White,1,Male,White,
6,13,2007,Albatross,Murder,1,Male,White,2,"1 male, 1 female","1 black, 1 white",
6,14,2007,Flipped,Murder,2,Male,Black,2,Male,Black,
6,15,2007,Brother's Keeper,Murder,1,Female,White,1,Male,White,
6,16,2007,30,Murder,3,"2 male, 1 female",White,3,Male,White,
6,17,2007,Players,Murder,1,Male,White,1,Male,White,
6,18,2007,Silencer,Murder,1,Male,White,1,Male,White,
6,19,2007,Rocket Man,Murder,1,Female,White,1,Female,White,
6,20,2007,Bombshell,Murder,2,"1 female, 1 male",White,1,Female,White,
6,21,2007,Endgame,"Murder, rape",16,Female,"14 white, 2 black",1,Male,White,
6,22,2007,Renewal,Murder,1,Male,White,1,Female,White,Victim is from the Middle East or Middle Eastern descent
7,1,2007,Amends,Murder,3,Male,"2 white, 1 hispanic",2,Male,Hispanic,
7,2,2007,Seeds,Murder,1,Male,White,1,Male,White,
7,3,2007,Smile,Murder,1,Male,White,1,Female,White,
7,4,2007,Lonelyville,Murder,1,Female,White,1,Female,White,
7,5,2007,Depths,Murder,2,Male,"1 asian, 1 white",1,Male,White,
7,6,2007,Courtship,Murder,1,Female,White,1,Female,White,
7,7,2007,Self-made,Murder,1,Female,Black,2,Male,White,
7,8,2007,Offense,Murder,1,Female,Asian,1,Female,White,
7,9,2007,Untethered,Murder,1,Male,White,2,Male,White,
7,10,2007,Senseless,Murder,3,"2 male, 1 female",Black,3,Male,Hispanic,
7,11,2008,Purgatory,Murder,2,"2 male, 1 female","1 black, 2 white",1,Male,White,
7,12,2008,Contract,Murder,1,Male,White,2,Male,White,
7,13,2008,Betrayed,Murder,3,Male,White,1,Female,White,
7,14,2008,Assassin,Murder,3,"1 female, 2 male",Asian,3,"2 male, 1 female","2 white, 1 asian",
7,15,2008,Kissinger,Murder,3,"1 male, 2 female",White,1,Female,White,
7,16,2008,Reunion,Murder,1,Female,White,1,Female,White,
7,17,2008,Vanishing Act,Murder,1,Male,White,1,Male,White,
7,18,2008,Ten Count,Murder,2,Male,White,2,Male,White,
7,19,2008,Legacy,Murder,1,Male,White,1,Male,White,
7,20,2008,Neighborhood Watch,Murder,1,Male,White,1,Male,White,
7,21,2008,Last Rites,Murder,2,"1 male, 1 female",White,1,Male,White,
7,22,2008,Frame,Murder,2,"1 male, 1 female",White,2,"1 female, 1 male",White,
8,1,2009,Playing Dead,Murder,1,Male,White,2,"1 female, 1 male",White,
8,2,2009,Rock Star,Murder,2,Male,White,2,Male,White,
8,3,2009,Identity Crisis,Murder,1,Male,White,1,Male,White,
8,4,2009,In Treatment,Murder,1,Male,White,1,Male,White,
8,5,2009,Faithfully,Murder,1,Male,White,2,"1 male, 1 female",White,
8,6,2009,Astoria Helen,"Murder, kidnapping",3,Male,White,1,Male,White,
8,7,2009,Folie a Deux,No violent crime,0,-,-,0,-,-,
8,8,2009,The Glory That Was...,Murder,2,"1 female, 1 male",White,1,Male,White,
8,9,2009,Family Values,"Murder, kidnapping",6,"4 female, 2 male",White,1,Male,white,
8,10,2009,Salome in Manhattan,Murder,1,Female,White,1,Male,white,
8,11,2009,Lady's Man,Murder,1,Male,White,1,Male,White,
8,12,2009,Passion,Murder,2,"1 female, 1 male",White,1,Female,White,
8,13,2009,All In,Murder,1,Male,White,1,Male,White,
8,14,2009,Major Case,Murder,1,Female,White,1,Male,White,
8,15,2009,Alpha Dog,Murder,2,"1 male, 1 female",White,1,Male,white,
8,16,2009,Revolution,Murder,3,"2 male, 1 female","2 white, 1 black",3,"2 male, 1 female","2 white, 1 black",
9,1,2010,Loyalty: Part 1,Murder,11,"9 male, 2 female","7 black, 3 white, 1 asian",9,Male,"7 white, 1 asian, 1 black",
