season,episode,year,title,crime,n_victims,v_sex,v_race,n_criminals,c_sex,c_race,Data in Google forms,notes
8,1,2006,Informed,"Rape, homicide",2,"1 female, 1 male",White,2,"1 male, 1 female",White,Yes,
8,2,2006,Clock,No crime,0,-,-,0,-,-,No data,Supposed victim of kidnapping ran away
8,3,2006,Recall,Rape,2,Female,White,1,Male,White,Yes,
8,4,2006,Uncle,Murder,3,"2 female, 1 male",White,2,Male,White,Yes,
8,5,2006,Confrontation,"Rape, murder",4,Female,White,1,Male,White,Yes,
8,6,2006,Infiltrated,"Rape, murder",2,"1 female, 1 male",White,2,"1 male, 1 female",White,Yes,
8,7,2006,Underbelly,"Murder, rape, kidnapping",3,Female,Black,2,Male,"1 white, 1 black",Yes,
8,8,2006,Cage,"Murder, abuse",1,Female,White,2,"1 male, 1 female",White,Yes,
8,9,2006,Choreographed,Murder,1,Female,White,1,Male,White,Yes,
8,10,2007,Scheherazade,Murder,1,Female,White,1,Male,White,Yes,
8,11,2007,Burned,Homicide,1,Female,Black,1,Male,Black,Yes,
8,12,2007,Outsider,Rape,3,Female,"1 asian, 2 white",1,Male,Indian,Yes,
8,13,2007,Loophole,Toxic poisoning,12,Unknown,Unknown,1,Male,White,Yes,"Pesticides are used on children, but it is unclear the gender and race proportion"
8,14,2007,Dependent,"Assault, murder, rape",2,"1 male, 1 female",White,1,Male,White,Yes,
8,15,2007,Haystack,Kidnapping,1,Male,White,1,Male,White,Yes,
8,16,2007,Philadelphia,Rape,4,Male,White,1,Male,Hispanic,Yes,
8,17,2007,Sin,"Homicide, rape, attempted homicide",2,Male,White,2,"1 male, 1 female",White,Yes,
8,18,2007,Responsible,Negligent homicide,3,"2 female, 1 male",White,1,Female,White,Yes,
8,19,2007,Florida,Rape,2,Female,White,1,Male,White,Yes,
8,20,2007,Annihilated,"Rape, murder",5,"3 female, 2 male",White,1,Male,White,Yes,
8,21,2007,Pretend,Murder,1,Male,White,1,Male,White,Yes,
8,22,2007,Screwed,No crime,0,-,-,0,-,-,No data,"Episode is the aftermath of crimes from previous episodes, registered in other entries"
9,1,2007,Alternate,Homicide,2,Female,White,2,"1 male, 1 female",White,,
9,2,2007,Avatar,"Rape, kidnapping",2,Female,White,2,Male,White,,
9,3,2007,Impulsive,Rape,2,"1 female, 1 male",White,2,Male,White,,
9,4,2007,Savant,Assault,1,Female,White,1,Male,White,,
9,5,2007,Harm,Murder,2,"1 female, 1 male",White,2,"1 male, 1 female",White,,1 victim is from the Middle East or Middle Eastern descent
9,6,2007,Svengali,"Murder, attempted murder",2,Female,White,2,"1 female, 1 male",White,,
9,7,2007,Blinded,"Rape, Murder, Kidnapping",2,Female,White,1,Male,White,,
9,8,2007,Fight,Murder,2,"1 female, 1 male",White,2,Male,"1 white, 1 black",,
9,9,2007,Paternity,"Rape, murder",2,Female,White,1,Male,White,,
9,10,2007,Snitch,Murder,2,"1 female, 1 male",Black,2,"1 female, 1 male","1 white, 1 black",,
9,11,2008,Streetwise,"Rape, murder",3,Female,White,1,Male,White,,
9,12,2008,Signature,Murder,3,"1 male, 2 female",White,2,"1 male, 1 female",White,,
9,13,2008,Unorthodox,Rape,4,"3 females, 1 male",White,1,Male,White,,
9,14,2008,Inconceivable,Murder,1,Male,White,1,Male,White,,
9,15,2008,Undercover,"Rape, murder",2,Female,Black,1,Male,White,,
9,16,2008,Closet,Murder,1,Male,White,1,Male,White,,
9,17,2008,Authority,"Kidnapping, harassment, molestation",2,Female,White,1,Male,White,,
9,18,2008,Trade,Murder,2,"1 female, 1 male",White,1,Female,White,,
9,19,2008,Cold,Murder,1,Male,White,1,Male,American Indian,,
10,1,2008,Trials,Rape,2,"1 male, 1 female",White,1,Male,White,,
10,2,2008,Confession,"Rape, murder",2,Male,White,2,Male,White,,
10,3,2008,Swing,No violent crime,0,-,-,0,-,-,,Only crime is trespassing; no charges (episode is about protagonist family drama)
10,4,2008,Lunacy,Murder,3,"1 female, 2 male",White,1,Male,White,,
10,5,2008,Retro,Murder (negligence),2,Female,White,1,Male,White,,
10,6,2008,Babes,Murder,2,"1 male, 1 female",White,2,Male,White,,
10,7,2008,Wildlife,"Murder (2, one attempted)",2,"1 female, 1 male",White,1,Male,White,,
10,8,2008,Persona,"Rape, murder",2,"1 female, 1 male",White,2,"1 male, 1 female",White,,
10,9,2008,PTSD,"Rape, murder",2,"Female, male",White,2,"1 male, 1 female",White,,
10,10,2008,Smut,Rape,3,Female,"1 Asian-American, 2 white",1,Male,White,,
10,11,2009,Stranger,"Murder, rape, kidnapping",2,Female,White,2,"1 female, 1 male",White,,
10,12,2009,Hothouse,Murder,1,Female,White,1,Female,White,,
10,13,2009,Snatched,Kidnapping,1,Female,White,1,Male,White,,
10,14,2009,Transitions,Assault,1,Male,White,1,Female,Black,,
10,15,2009,Lead,Murder,1,Male,White,1,Male,White,,
10,16,2009,Ballerina,"Murder, rape",4,"3 male, 1 female","2 white, 2 hispanic",3,"2 male, 1 female",White,,
10,17,2009,Hell,Attempted murder,2,"1 female, 1 male",Black,2,Male,Black,,
10,18,2009,Baggage,"Murder, rape",5,Female,"3 white, 1 hispanic, 1  black",1,Male,Hispanic,,
10,19,2009,Selfish,Negligent homicide,1,Female,White,1,Female,White,,
10,20,2009,Crush,"Assault, physical abuse",1,Female,White,1,Male,White,,
10,21,2009,Liberties,"Rape, assault",2,"1 female, 1 male",White,2,Male,White,,
10,22,2009,Zebras,Murder,4,"3 female, 1 male",White,2,Male,White,,
11,1,2009,Unstable,"Rape, murder",4,Female,"3 white, 1 black",1,Male,Black,,
11,2,2009,Sugar,Murder,2,"1 female, 1 male",White,1,Female,White,,
11,3,2009,Solitary,Assault,1,Male,White,1,Male,White,,
11,4,2009,Hammered,Murder,1,Female,White,1,Male,White,,
11,5,2009,Hardwired,Rape,1,Male,Hispanic,2,Male,White,,
11,6,2009,Spooked,Murder,2,"1 female, 1 male",Hispanic,2,"1 female, 1 male",White,,
11,7,2009,Users,"Murder, statutory rape",1,Female,White,1,Male,White,,
11,8,2009,Turmoil,"Rape, murder",2,"1 female, 1 male",White,2,Male,White,,
11,9,2009,Perverted,Murder,1,Male,White,1,Male,White,,
11,10,2009,Anchor,Murder,4,"2 female, 2 male","1 black, 1 hispanic, 1 asian, 1 white",2,Male,White,,
11,11,2010,Quickie,"Rape, murder",1,Female,White,1,Male,White,,
11,12,2010,Shadow,Murder,2,"1 male, 1 female",White,1,Female,White,,
11,13,2010,P.C.,"Rape, murder",2,Female,White,1,Male,White,,
11,14,2010,Savior,Murder,2,Female,White,1,Male,White,,
11,15,2010,Confidential,"Rape, murder",2,Female,White,2,"1 male, 1 female",White,,
11,16,2010,Witness,"Rape, murder",1,Female,White,1,Male,White,,
11,17,2010,Disabled,Rape,1,Female,Black,1,Male,White,,
11,18,2010,Bedtime,"Rape, murder",6,Female,White,1,"1 male, 1 female",White,,
11,19,2010,Conned,Murder,1,Male,White,1,Male,White,,
11,20,2010,Beef,Murder,1,Female,Hispanic,1,Female,White,,
11,21,2010,Torch,Rape,1,Female,White,1,Male,White,,
11,22,2010,Ace,"Rape, murder",4,Female,White,1,Male,White,,
11,23,2010,Wannabe,"Rape, attempted murder",4,"3 female, 1 male",White,2,Male,White,,
11,24,2010,Shattered,Kidnapping,1,Male,White,1,Male,White,,
12,1,2010,Locum,Kidnapping,2,Female,White,2,Male,White,,
12,2,2010,Bullseye,Rape,3,Female,White,1,Male,White,,
12,3,2010,Behave,Rape,1,Female,White,1,Male,White,,
12,4,2010,Merchandise,"Murder, kidnapping, forced labor, forced prostitution",11,Unknown,White,2,"1 male, 1 female",White,,"Children are kidnapped for forced labour and prostitution, but it is unclear the gender proportion. All are white"
