Timestamp,season,episode,year,title,crime,n_victims,v_sex,v_race,n_criminals,c_sex,c_race,notes
2016/06/04 3:50:47 PM AST,5,11,2003,Escape,Rape,1,Male,White,1,Male,White,
2016/06/04 3:51:20 PM AST,5,12,2003,Brotherhood,Rape murder,1,Male,White,1,Male,White,
2016/06/04 3:52:16 PM AST,5,13,2004,Hate,Rape murder,1,Female,Asian,1,Male,White,
2016/06/04 3:54:00 PM AST,5,14,2004,Ritual,Murder,1,Male,Black,1,Male,Black,"Children smuggling cartel, lots of victims and criminals alluded at the end of episode."
2016/06/04 3:54:45 PM AST,5,15,2004,Families,Murders,2,both,White,1,Female,White,
2016/06/04 3:55:25 PM AST,5,16,2004,Home,Murder,1,Male,White,1,Male,White,
2016/06/04 3:56:20 PM AST,5,17,2004,Mean,Murder,1,Female,White,3,Female,White,"End of episode, another murder of a white female is committed by a white female. "
2016/06/04 3:56:52 PM AST,5,18,2004,Careless,Murder,1,Male,Black,1,Female,Black,
2016/06/04 3:57:24 PM AST,5,19,2004,Sick,Molestation and abuse,1,Male,White,1,Male,White,
2016/06/04 3:57:54 PM AST,5,20,2004,Lowdown,Murder,1,Male,White,1,Male,Black,
2016/06/04 3:58:47 PM AST,5,21,2004,Criminal,Murder,1,Male,White,1,Male,White,
2016/06/04 3:59:27 PM AST,5,22,2004,Painless,Rape,1,Female,White,1,Female,White,
2016/06/04 4:00:06 PM AST,5,23,2004,Bound,Rape murder,1,Female,White,1,Female,White,
2016/06/04 4:00:42 PM AST,5,24,2004,Poison,Murder,1,Female,White,1,Female,White,
2016/06/04 4:01:12 PM AST,5,25,2004,Head,Molestation,1,Male,White,1,Female,White,
