Season,Episode,Year,Episode Title,"Crime (Actual crime/crimes committed. e.g. rape, murder)",Number of victims (enter a number),Victim Gender,Victim Race,Number of criminals,Criminal Gender,Criminal Race,Notes
1,1,1990,Everybody's Favorite Bagman,Murder,2,Male,White,3,Male,White,
1,2,1990,Prescription for Death,Manslaughter,1,Female,White,1,Male,White,Death was caused by medical negligence
1,3,1990,Subterranean Homeboy Blues,"Attempted murder, murder",2,Male,Black,1,Female,White,Episode deals with racial issues
1,4,1990,The Reaper's Helper,Murder,1,Male,White,1,Male,White,
1,5,1990,Kiss the Girls and Make Them Die,Murder,1,Female,White,1,Male,White,
1,6,1990,Happily Ever After,Murder,1,Male,White,1,Female,White,
1,7,1990,"By Hooker, By Crook",Murder,1,Male,White,2,"1 male, 1 female","1 black, 1 white",
1,8,1990,Poison Ivy,Murder,1,Male,Black,1,Male,White,
1,9,1990,Indifference,"Abuse, murder, rape",3,"2 female, 1 male",White,2,"1 female, 1 male",White,
1,10,1990,Prisoner of Love,Murder,2,Male,White,2,"1 female, 1 male",White,
1,11,1990,Out of the Half-Light,Filing false rape charges,1,Male,White,1,Female,Black,Episode deals with racial issues
1,12,1991,Life Choice,Murder,1,Female,White,3,Female,White,Episode deals with abortion rights
1,13,1991,A Death in the Family,Murder,2,Male,White,2,"1 male, 1 female",White,
1,14,1991,The Violence of Summer,Rape,1,Female,White,3,Male,White,
1,15,1991,"The Torrents of Greed, Part 1",Murder,1,Male,White,1,Male,White,
1,16,1991,"The Torrents of Greed, Part 2",Murder,4,Male,White,5,"4 male, 1 female",White,
1,17,1991,Mushrooms,Murder,1,Black,Male,2,Black,Male,
1,18,1991,The Secret Sharers,Murder,1,Male,Hispanic,1,Male,Hispanic,
1,19,1991,The Serpent's Tooth,Murder,2,"1 male, 1 female",White,2,Male,White,
1,20,1991,The Troubles,Murder,1,Male,White,1,Male,White,Victim is middle eastern
1,21,1991,Sonata for Solo Organ,"Attempted murder, assault",1,Male,Black,1,Male,White,
1,22,1991,The Blue Wall,"Receiving bribe, fraud, tampering with evidence",0,-,-,3,Male,White,
2,1,1991,Confession,Murder,1,Male,White,1,Male,White,
2,2,1991,The Wages of Love,Murder,2,"1 male, 1 female",White,1,Female,White,
2,3,1991,Aria,Manslaughter,1,Female,White,1,Female,White,
2,4,1991,Asylum,Murder,1,Male,White,1,Male,White,
2,5,1991,God Bless the Child,Manslaughter,1,Female,White,2,"1 male, 1 female",White,
2,6,1991,Misconception,Attempted murder,1,Unknown,White,2,"1 male, 1 female",White,Unknown gender of victim: unborn baby
2,7,1991,In Memory Of...,Murder,1,Male,White,1,Male,White,
2,8,1991,Out of Control,Rape,1,Female,White,2,Male,White,
2,9,1991,Renunciation,Murder,1,Male,White,2,"1 male, 1 female",White,
2,10,1991,Heaven,Arson,53,Unknown,Hispanic,3,Male,"2 hispanic, 1 white","Victims were male and female, of unknown number (nightclub fire)"
2,11,1991,His Hour Upon the Stage,Murder,1,Male,White,1,Female,White,
2,12,1992,Star Struck,Assault,1,Female,White,1,Male,White,
2,13,1992,Severance,Murder,4,"2 male, 1 female",White,2,Male,White,
2,14,1992,Blood Is Thicker...,Murder,1,Female,White,1,Male,White,
2,15,1992,Trust,Murder,1,Male,White,1,Male,White,
2,16,1992,Vengeance,Murder,3,Female,White,1,Male,White,
2,17,1992,Sisters of Mercy,Rape,1,Female,White,1,Male,White,
2,18,1992,Cradle to Grave,Murder,1,Male,Black,3,"1 female, 2 male",White,
2,19,1992,The Fertile Fields,Murder,1,Male,White,1,Male,White,
2,20,1992,Intolerance,Murder,1,Male,Asian,2,"1 male, 1 female",White,
2,21,1992,Silence,Murder,1,Male,White,1,Male,White,
2,22,1992,The Working Stiff,Murder,1,Male,White,2,Male,White,
16,1,2005,Red Ball,Kidnapping,1,Female,White,1,Male,White,
16,2,2005,Flaw,Murder,1,Male,White,1,Female,White,
16,3,2005,Ghosts,"Assault, robbery, murder",4,"1 male, 3 female",White,2,Male,White,
16,4,2005,Age of Innocence,Murder,1,Male,White,2,Male,White,
16,5,2005,Life Line,Murder,1,Female,White,2,Male,"1 white, 1 hispanic",
16,6,2005,Birthright,Murder,2,"1 male, 1 female",Black,2,Female,"1 black, 1 white",
16,7,2005,House of Cards,Murder,1,Female,White,1,Male,White,
16,8,2005,New York Minute,Murder,13,Unknown,"1 white, 12 hispanic",2,Male,White,1 victim is male; the other 12 are male and female in unknown proportion
16,9,2005,Criminal Law,Murder,7,"4 female, 3 male",White,2,Male,White,
16,10,2005,Acid,"Assault, harrasment",1,Female,White,1,Male,White,
16,11,2005,Bible Story,Murder,1,Male,White,1,Male,White,
16,12,2006,Family Friend,"Murder, assault",3,"2 male, 1 female",White,4,"3 male, 1 female",White,
16,13,2006,Heart of Darkness,Murder,1,Male,White,2,"1 male, 1 female",White,
16,14,2006,Magnet,Murder,1,Male,Hispanic,1,Male,Hispanic,
16,15,2006,Choice of Evils,Murder,1,Male,White,1,Female,White,
16,16,2006,Cost of Capital,"Murder, rape",2,"1 male, 1 female","1 black, 1 white",2,"1 female, 1 male",White,
16,17,2006,"America, Inc.",Murder,1,Male,White,2,Male,White,
16,18,2006,Thinking Makes It So,Kidnapping,1,Female,White,1,Male,White,
16,19,2006,Positive,"Murder, attempted murder",2,"1 male, 1 female","1 hispanic, 1 white",1,Male,Black,
16,20,2006,Kingmaker,Murder,1,Female,White,1,Male,White,
16,21,2006,Hindsight,Murder,1,Female,White,1,Female,Black,
16,22,2006,Invaders,Murder,6,"4 female, 2 male",White,2,Male,"1 white, 1 black",
17,1,2006,Fame,Murder,1,Male,White,1,Male,White,
17,2,2006,Avatar,"Murder, rape, kidnapping",2,Female,White,2,"1 male, 1 female",White,
17,3,2006,Home Sweet,Murder,1,Female,White,1,Male,White,
