Season,Episode,Episode Title,"Crime (Actual crime/crimes committed. e.g. rape, murder)",Number of victims (enter a number),Victim Gender,Victim Race,Number of criminals,Criminal Gender,Criminal Race,Notes
6,6,Masquerade,Murder,1,Female,White,1,Male,White,
6,7,Country Crossover,Murder,2,Male,"1 white, 1 black",2,"1 male, 1 female",White,
6,8,The War at Home,Murder,1,Female,White,1,Male,White,
6,9,Blasters,Murder,2,Male,"1 white, 1 black",4,Male,White,
6,10,Weeping Willow,Murder,1,Male,White,2,"1 male, 1 female",White,
6,11,World's Fair,Murder,2,"1 female, 1 male",Asian,2,Male,Asian,
6,12,Privilege,Murder,3,"2 female, 1 male",White,1,Male,White,
6,13,Albatross,Murder,1,Male,White,2,"1 male, 1 female","1 black, 1 white",
6,14,Flipped,Murder,2,Male,Black,2,Male,Black,
6,15,Brother's Keeper,Murder,1,Female,White,1,Male,White,
6,16,30,Murder,3,"2 male, 1 female",White,3,Male,White,
6,17,Players,Murder,1,Male,White,1,Male,White,
6,18,Silencer,Murder,1,Male,White,1,Male,White,
6,19,Rocket Man,Murder,1,Female,White,1,Female,White,
6,20,Bombshell,Murder,2,"1 female, 1 male",White,1,Female,White,
6,21,Endgame,"Murder, rape",16,Female,"14 white, 2 black",1,Male,White,
6,22,Renewal,Murder,1,Male,Asian,1,Female,White,
7,1,Amends,Murder,3,Male,"2 white, 1 hispanic",2,Male,Hispanic,
7,2,Seeds,Murder,1,Male,White,1,Male,White,
7,3,Smile,Murder,1,Male,White,1,Female,White,
7,4,Lonelyville,Murder,1,Female,White,1,Female,White,
7,5,Depths,Murder,2,Male,"1 asian, 1 white",1,Male,White,
7,6,Courtship,Murder,1,Female,White,1,Female,White,
7,7,Self-made,Murder,1,Female,Black,2,Male,White,
7,8,Offense,Murder,1,Female,Asian,1,Female,White,
7,9,Untethered,Murder,1,Male,White,2,Male,White,
7,10,Senseless,Murder,3,"2 male, 1 female",Black,3,Male,Hispanic,
7,11,Purgatory,Murder,2,"2 male, 1 female","1 black, 2 white",1,Male,White,
7,12,Contract,Murder,1,Male,White,2,Male,White,
7,13,Betrayed,Murder,3,Male,White,1,Female,White,
7,14,Assassin,Murder,3,"1 female, 2 male",Asian,3,"2 male, 1 female","2 white, 1 asian",
